item_id,cat_id,dept_id,units,estimated_revenue,revenue_share,cumulative_revenue_share,abc_class
FOODS_3_586,FOODS,FOODS_3,932236.0,1482295.1640625,0.0077373087811531864,0.0077373087811531864,A
FOODS_3_120,FOODS,FOODS_3,290132.0,1444850.49609375,0.007541854484798376,0.015279163265951561,A
FOODS_3_090,FOODS,FOODS_3,1.017916e+06,1377664.046875,0.007191153547415557,0.022470316813367117,A
FOODS_3_202,FOODS,FOODS_3,300529.0,1272486.99609375,0.006642148640487826,0.029112465453854944,A
FOODS_3_587,FOODS,FOODS_3,402159.0,991307.3046875,0.005174442242905738,0.03428690769676068,A
FOODS_3_252,FOODS,FOODS_3,573723.0,871806.359375,0.004550669234709155,0.03883757693146984,A
FOODS_3_555,FOODS,FOODS_3,497881.0,789009.431640625,0.004118484463724721,0.04295606139519456,A
FOODS_3_444,FOODS,FOODS_3,109137.0,719129.1953125,0.003753722451893814,0.046709783847088376,A
HOBBIES_1_354,HOBBIES,HOBBIES_1,31143.0,711937.59375,0.0037161836112707463,0.050425967458359124,A
FOODS_1_096,FOODS,FOODS_1,96007.0,670077.2163085938,0.0034976801216741746,0.0539236475800333,A
FOODS_3_694,FOODS,FOODS_3,395937.0,634224.38671875,0.0033105349295827363,0.05723418250961603,A
FOODS_3_714,FOODS,FOODS_3,402111.0,611991.978515625,0.003194485838020721,0.06042866834763675,A
HOBBIES_1_158,HOBBIES,HOBBIES_1,26104.0,597570.1015625,0.0031192062864877444,0.0635478746341245,A
FOODS_3_226,FOODS,FOODS_3,368369.0,592860.1103515625,0.0030946209965677105,0.0666424956306922,A
HOUSEHOLD_1_535,HOUSEHOLD,HOUSEHOLD_1,82024.0,571642.6220703125,0.0029838696007778174,0.06962636523147002,A
HOUSEHOLD_1_072,HOUSEHOLD,HOUSEHOLD_1,70324.0,562609.5078125,0.0029367184017706095,0.07256308363324063,A
FOODS_2_244,FOODS,FOODS_2,96378.0,559122.880859375,0.002918518848810399,0.07548160248205102,A
HOUSEHOLD_1_110,HOUSEHOLD,HOUSEHOLD_1,150650.0,548015.376953125,0.002860539716452589,0.0783421421985036,A
HOUSEHOLD_1_272,HOUSEHOLD,HOUSEHOLD_1,54175.0,540098.9921875,0.0028192176404942576,0.08116135983899786,A
FOODS_3_099,FOODS,FOODS_3,216471.0,539910.12890625,0.002818231808819244,0.0839795916478171,A
HOUSEHOLD_1_053,HOUSEHOLD,HOUSEHOLD_1,35273.0,529817.150390625,0.00276554831285282,0.08674513996066992,A
FOODS_3_574,FOODS,FOODS_3,87135.0,520271.197265625,0.0027157201890558617,0.08946086014972578,A
FOODS_2_197,FOODS,FOODS_2,164027.0,519233.7412109375,0.002710304858805445,0.09217116500853122,A
FOODS_2_276,FOODS,FOODS_2,160385.0,501579.6171875,0.002618153570626277,0.0947893185791575,A
FOODS_1_012,FOODS,FOODS_1,86633.0,499828.9326171875,0.0026090153183892634,0.09739833389754676,A
FOODS_3_607,FOODS,FOODS_3,225436.0,488786.6083984375,0.0025513764120408703,0.09994971030958763,A
FOODS_3_511,FOODS,FOODS_3,73835.0,487475.37109375,0.0025445319938995274,0.10249424230348715,A
FOODS_3_516,FOODS,FOODS_3,136559.0,483374.412109375,0.0025231257404553812,0.10501736804394253,A
FOODS_3_282,FOODS,FOODS_3,191126.0,478703.88671875,0.0024987464548760904,0.10751611449881862,A
FOODS_2_183,FOODS,FOODS_2,54138.0,476020.802734375,0.0024847412487766654,0.11000085574759529,A
FOODS_3_764,FOODS,FOODS_3,155362.0,462684.65625,0.0024151290110780007,0.11241598475867329,A
FOODS_3_329,FOODS,FOODS_3,150241.0,447328.052734375,0.00233497035839476,0.11475095511706805,A
