store_id,units,estimated_revenue,avg_selling_price
CA_3,11363540.0,32699110.363803804,2.8775461136057783
CA_1,7832248.0,22954258.706321716,2.930736961638819
TX_2,7329642.0,20892985.053559065,2.850478243488436
TX_3,6205940.0,18190285.216645837,2.9311087791125656
WI_2,6697988.0,18131971.732663035,2.707077369004399
CA_2,5818395.0,17848192.182476044,3.0675456345738032
WI_3,6542557.0,17250113.533986926,2.6366011842138977
TX_1,5692823.0,16037329.199978113,2.8171136183187344
WI_1,5261506.0,15107420.830945492,2.871311147596428
CA_4,4182534.0,12465718.327590942,2.9804224729771334
